"objectid","common_name","longitude","latitude"
159,"Yoshino Cherry",-77.0132040349382,38.972899482725
160,"Chokecherry",-77.0314524690561,38.9813096834952
161,"Yoshino Cherry",-77.0342916413462,38.9813088848971
162,"Snowgoose Cherry",-77.0140351748834,38.9742235959422
163,"Kwanzan Cherry",-77.0092912465937,38.9672877248487
164,"Kwanzan Cherry",-77.0213628086466,38.9729072852431
165,"Snowgoose Cherry",-77.0244781294621,38.9715194055962
166,"Okame Cherry",-77.0102721956053,38.9681704508057
167,"Cherry Spp.",-77.0187430727346,38.9723041818925
168,"Chokecherry",-77.011599406987,38.9694044564505
169,"Okame Cherry",-77.0236476280356,38.9726095736729
170,"Yoshino Cherry",-77.0344185959414,38.981308848025
171,"Yoshino Cherry",-77.014876452886,38.9686834258994
172,"Snowgoose Cherry",-77.0319647291889,38.9654820750378
173,"Chokecherry",-77.0174485094411,38.9637465507628
174,"Chokecherry",-77.0215111482209,38.9673401652165
175,"Okame Cherry",-77.0182216098394,38.963827506834
176,"Snowgoose Cherry",-77.004767815882,38.9656214717536
177,"Chokecherry",-77.0217300423076,38.9661960773871
178,"Cherry Spp.",-77.0249489767139,38.964997337757
179,"Cherry Spp.",-77.0305803380122,38.9660950061797
180,"Okame Cherry",-77.0213721256231,38.965493500025
181,"Snowgoose Cherry",-77.033927986987,38.9689767217983
182,"Snowgoose Cherry",-77.0044562844299,38.9658827230093
183,"Okame Cherry",-77.0306614163912,38.9668066370167
184,"Snowgoose Cherry",-77.0258470388097,38.9596011977371
185,"Chokecherry",-77.0318807936637,38.9584106176559
186,"Kwanzan Cherry",-77.0333257712673,38.9643376472646
187,"Snowgoose Cherry",-77.0222362473049,38.9613675588658
188,"Okame Cherry",-77.0177017675225,38.961377341691
189,"Cherry Spp.",-77.0218324130354,38.9613676353082
190,"Okame Cherry",-77.0218329733131,38.9631963104614
191,"Kwanzan Cherry",-77.0225935659403,38.9602234413588
192,"Kwanzan Cherry",-77.0179668786685,38.9603233353537
193,"Okame Cherry",-77.0234242975933,38.9602232785815
194,"Kwanzan Cherry",-76.9970255622798,38.9587302160267
195,"Kwanzan Cherry",-77.0289032202074,38.95628544142
196,"Snowgoose Cherry",-77.0223859682378,38.9604937290025
197,"Okame Cherry",-77.0162475251031,38.9594497851795
198,"Chokecherry",-77.0026906454569,38.960730056447
199,"Kwanzan Cherry",-77.0370257116672,38.9567335646024
200,"Cherry Spp.",-77.0228811385537,38.9574938829364
201,"Chokecherry",-77.0363088854467,38.9537700691334
202,"Cherry Spp.",-77.0247952214223,38.9542144835116
203,"Chokecherry",-77.0340603411118,38.9561759534575
204,"Snowgoose Cherry",-76.9883626106459,38.9473522291221
205,"Chokecherry",-77.0350720703198,38.9489600280829
206,"Kwanzan Cherry",-76.9949493703172,38.9503524556014
207,"Chokecherry",-77.0152881184518,38.9512073502391
208,"Chokecherry",-77.0296160921089,38.9504118702117
209,"Snowgoose Cherry",-77.0154380920943,38.9512073313533
210,"Snowgoose Cherry",-77.0219558935496,38.9502063697282
211,"Okame Cherry",-77.0236050136604,38.9484764590214
212,"Chokecherry",-77.0135114564885,38.9509733547366
213,"Snowgoose Cherry",-77.0313240935321,38.9518257240779
